날짜,nino3.4 index,ONI index,nino3.4 수온 평균,nino3.4 수온 평균(3개월),nino3.4 수온 평년평균,nino3.4 수온 표준편차
﻿2001년 12월,-0.535349,-0.401973,26.041491,26.207273,26.576839,1.219633
﻿2001년 11월,-0.488725,-0.426114,26.267567,26.251245,26.75629,1.177667
﻿2001년 10월,-0.254267,-0.310966,26.444681,26.405869,26.69895,1.01164
﻿2001년 09월,-0.189907,-0.17516,26.505362,26.568022,26.695267,0.834961
﻿2001년 08월,-0.081306,-0.120291,26.754023,26.804447,26.835327,0.818931
﻿2001년 07월,-0.089659,-0.106609,27.153959,27.141329,27.243618,0.677102
﻿2001년 06월,-0.148863,-0.234055,27.516003,27.349241,27.664865,0.627709
﻿2001년 05월,-0.463642,-0.395554,27.377766,27.363617,27.841408,0.614643
﻿2001년 04월,-0.574156,-0.472834,27.197081,27.124811,27.771236,0.657626
﻿2001년 03월,-0.380704,-0.508387,26.799591,26.698067,27.180296,0.817327
﻿2001년 02월,-0.570301,-0.576622,26.097528,26.204288,26.667831,1.007264
﻿2001년 01월,-0.77886,-0.809373,25.715748,25.770386,26.494608,1.164648
﻿2000년 12월,-1.078959,-0.92759,25.497881,25.681656,26.576839,1.219633
﻿2000년 11월,-0.924953,-0.905637,25.831339,25.771723,26.75629,1.177667
﻿2000년 10월,-0.712998,-0.719165,25.98595,25.997671,26.69895,1.01164
﻿2000년 09월,-0.519544,-0.571991,26.175722,26.17119,26.695267,0.834961
﻿2000년 08월,-0.48343,-0.576532,26.351898,26.348206,26.835327,0.818931
﻿2000년 07월,-0.726621,-0.636045,26.516996,26.611893,27.243618,0.677102
﻿2000년 06월,-0.698084,-0.80144,26.966782,26.781857,27.664865,0.627709
﻿2000년 05월,-0.979613,-0.861018,26.861794,26.898151,27.841408,0.614643
﻿2000년 04월,-0.905356,-1.011747,26.865881,26.585899,27.771236,0.657626
﻿2000년 03월,-1.150272,-1.203576,26.030024,26.002878,27.180296,0.817327
﻿2000년 02월,-1.5551,-1.503592,25.112732,25.277319,26.667831,1.007264
﻿2000년 01월,-1.805405,-1.680582,24.689203,24.899178,26.494608,1.164648
﻿1999년 12월,-1.681242,-1.719385,24.895597,24.88986,26.576839,1.219633
﻿1999년 11월,-1.671508,-1.518124,25.084784,25.159237,26.75629,1.177667
